"filename", "language", "JavaScript", "CSS", "comment", "blank", "total"
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Badges\Badges.js", "JavaScript", 139, 0, 0, 11, 150
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Badges\BadgesPage.js", "JavaScript", -65, 0, 0, -15, -80
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Badges\CreateBadge.js", "JavaScript", 236, 0, 0, 28, 264
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Badges\EditBadge.js", "JavaScript", 146, 0, 0, 26, 172
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Badges\ImportFile.js", "JavaScript", 84, 0, 17, 23, 124
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Levels\CreateLevel.js", "JavaScript", -6, 0, 0, 0, -6
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Levels\EditLevel.js", "JavaScript", -4, 0, 0, 1, -3
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Levels\LevelPage.js", "JavaScript", 44, 0, 0, 7, 51
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Levels\Levels.js", "JavaScript", 4, 0, 0, -2, 2
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Levels\Quotes.js", "JavaScript", 0, 0, 0, -1, -1
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Levels\Words.js", "JavaScript", -183, 0, 0, -18, -201
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Quotes\CreateQuote.js", "JavaScript", 123, 0, 0, 15, 138
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Quotes\EditQuote.js", "JavaScript", 136, 0, 0, 17, 153
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Quotes\Quotes.js", "JavaScript", 146, 0, 0, 10, 156
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Words\CreateWord.js", "JavaScript", 90, 0, 0, 14, 104
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Words\EditWord.js", "JavaScript", 101, 0, 0, 16, 117
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Words\Words.js", "JavaScript", 142, 0, 0, 10, 152
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\styles\index.css", "CSS", 0, -153, 0, -27, -180
"Total", "-", 1133, -153, 17, 115, 1112
