"filename", "language", "JavaScript", "CSS", "JSON", "Markdown", "HTML", "comment", "blank", "total"
"c:\Users\Laurynas\Desktop\Bachelor\frontend\README.md", "Markdown", 0, 0, 0, 1, 0, 0, 1, 2
"c:\Users\Laurynas\Desktop\Bachelor\frontend\package-lock.json", "JSON", 0, 0, 27899, 0, 0, 0, 1, 27900
"c:\Users\Laurynas\Desktop\Bachelor\frontend\package.json", "JSON", 0, 0, 43, 0, 0, 0, 1, 44
"c:\Users\Laurynas\Desktop\Bachelor\frontend\public\index.html", "HTML", 0, 0, 0, 0, 17, 0, 3, 20
"c:\Users\Laurynas\Desktop\Bachelor\frontend\public\manifest.json", "JSON", 0, 0, 25, 0, 0, 0, 1, 26
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\App.js", "JavaScript", 55, 0, 0, 0, 0, 0, 8, 63
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\api\axios.js", "JavaScript", 15, 0, 0, 0, 0, 0, 3, 18
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Authorization\Login.js", "JavaScript", 94, 0, 0, 0, 0, 0, 14, 108
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Authorization\Register.js", "JavaScript", 204, 0, 0, 0, 0, 0, 24, 228
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Authorization\RequireAuth.js", "JavaScript", 17, 0, 0, 0, 0, 0, 5, 22
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Authorization\ResetPassword.js", "JavaScript", 161, 0, 0, 0, 0, 0, 18, 179
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Authorization\Unauthorized.js", "JavaScript", 18, 0, 0, 0, 0, 0, 5, 23
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Badges\Badges.js", "JavaScript", 139, 0, 0, 0, 0, 0, 11, 150
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Badges\BadgesPage.js", "JavaScript", 20, 0, 0, 0, 0, 0, 6, 26
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Badges\CreateBadge.js", "JavaScript", 240, 0, 0, 0, 0, 0, 28, 268
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Badges\EditBadge.js", "JavaScript", 150, 0, 0, 0, 0, 0, 27, 177
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Badges\UserBadges.js", "JavaScript", 73, 0, 0, 0, 0, 1, 6, 80
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Badges\UserBadgesPage.js", "JavaScript", 20, 0, 0, 0, 0, 0, 5, 25
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Levels\CreateLevel.js", "JavaScript", 113, 0, 0, 0, 0, 0, 20, 133
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Levels\EditLevel.js", "JavaScript", 108, 0, 0, 0, 0, 0, 19, 127
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Levels\LevelPage.js", "JavaScript", 47, 0, 0, 0, 0, 0, 7, 54
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Levels\Levels.js", "JavaScript", 154, 0, 0, 0, 0, 0, 11, 165
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Levels\LevelsPage.js", "JavaScript", 20, 0, 0, 0, 0, 0, 5, 25
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Levels\levelmodals.css", "CSS", 0, 94, 0, 0, 0, 0, 16, 110
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Main\Footer.js", "JavaScript", 8, 0, 0, 0, 0, 0, 2, 10
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Main\GameComponent.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Main\Home.js", "JavaScript", 21, 0, 0, 0, 0, 0, 5, 26
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Main\Layout.js", "JavaScript", 9, 0, 0, 0, 0, 0, 2, 11
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Main\Missing.js", "JavaScript", 13, 0, 0, 0, 0, 0, 2, 15
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Main\NavBar.js", "JavaScript", 42, 0, 0, 0, 0, 0, 7, 49
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Main\Title.js", "JavaScript", 53, 0, 0, 0, 0, 0, 10, 63
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Modals\ConfirmationModal.js", "JavaScript", 21, 0, 0, 0, 0, 0, 3, 24
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Modals\ErrorModal.js", "JavaScript", 20, 0, 0, 0, 0, 0, 4, 24
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Modals\ModalStyles.css", "CSS", 0, 81, 0, 0, 0, 0, 16, 97
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Modals\RedirectModal.js", "JavaScript", 24, 0, 0, 0, 0, 0, 5, 29
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Modals\SuccessModal.js", "JavaScript", 27, 0, 0, 0, 0, 0, 5, 32
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Modals\SuccessSelectModal.js", "JavaScript", 20, 0, 0, 0, 0, 0, 4, 24
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Notes\CreateNote.js", "JavaScript", 103, 0, 0, 0, 0, 0, 12, 115
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Notes\EditNote.js", "JavaScript", 99, 0, 0, 0, 0, 0, 12, 111
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Notes\NotePage.js", "JavaScript", 44, 0, 0, 0, 0, 0, 7, 51
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Notes\Notes.js", "JavaScript", 119, 0, 0, 0, 0, 0, 12, 131
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Notes\NotesPage.js", "JavaScript", 17, 0, 0, 0, 0, 0, 3, 20
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\QuizTimer\AnswerTimer.js", "JavaScript", 36, 0, 0, 0, 0, 0, 8, 44
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\QuizTimer\timer.css", "CSS", 0, 12, 0, 0, 0, 0, 1, 13
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Quiz\Quiz.js", "JavaScript", 120, 0, 0, 0, 0, 0, 20, 140
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Quiz\QuizEngine.js", "JavaScript", 54, 0, 0, 0, 0, 0, 11, 65
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Quiz\QuizPage.js", "JavaScript", 22, 0, 0, 0, 0, 0, 5, 27
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Quiz\Quizes.js", "JavaScript", 103, 0, 0, 0, 0, 0, 8, 111
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Quiz\constants.js", "JavaScript", 62, 0, 0, 0, 0, 0, 1, 63
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Quiz\engineModal.css", "CSS", 0, 62, 0, 0, 0, 0, 9, 71
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Quiz\quiz.css", "CSS", 0, 96, 0, 0, 0, 0, 15, 111
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Quotes\CreateQuote.js", "JavaScript", 127, 0, 0, 0, 0, 0, 16, 143
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Quotes\EditQuote.js", "JavaScript", 140, 0, 0, 0, 0, 0, 18, 158
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Quotes\Quotes.js", "JavaScript", 146, 0, 0, 0, 0, 1, 10, 157
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\SpeedTyping\QuoteEngine.js", "JavaScript", 46, 0, 0, 0, 0, 0, 9, 55
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\SpeedTyping\QuoteLevels.js", "JavaScript", 103, 0, 0, 0, 0, 0, 8, 111
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\SpeedTyping\TypingPage.js", "JavaScript", 22, 0, 0, 0, 0, 0, 5, 27
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\SpeedTyping\TypingTest.js", "JavaScript", 98, 0, 0, 0, 0, 0, 16, 114
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\SpeedTyping\typingtest.css", "CSS", 0, 58, 0, 0, 0, 0, 9, 67
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Training\Game.js", "JavaScript", 751, 0, 0, 0, 0, 0, 67, 818
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Training\Keyboard.js", "JavaScript", 84, 0, 0, 0, 0, 0, 3, 87
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Training\TrainingPage.js", "JavaScript", 31, 0, 0, 0, 0, 0, 3, 34
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Training\keyboard.css", "CSS", 0, 116, 0, 0, 0, 3, 16, 135
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Users\Admin.js", "JavaScript", 19, 0, 0, 0, 0, 0, 3, 22
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Users\Users.js", "JavaScript", 189, 0, 0, 0, 0, 0, 15, 204
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Words\CreateWord.js", "JavaScript", 94, 0, 0, 0, 0, 0, 15, 109
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Words\EditWord.js", "JavaScript", 105, 0, 0, 0, 0, 0, 17, 122
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Words\ImportFile.js", "JavaScript", 86, 0, 0, 0, 0, 17, 23, 126
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Words\Words.js", "JavaScript", 147, 0, 0, 0, 0, 1, 10, 158
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\context\AuthProvider.js", "JavaScript", 11, 0, 0, 0, 0, 0, 4, 15
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\hooks\UseAuth.js", "JavaScript", 6, 0, 0, 0, 0, 0, 2, 8
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\hooks\UseAxiosPrivate.js", "JavaScript", 56, 0, 0, 0, 0, 0, 7, 63
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\hooks\userRefreshToken.js", "JavaScript", 22, 0, 0, 0, 0, 0, 3, 25
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\index.js", "JavaScript", 18, 0, 0, 0, 0, 0, 1, 19
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\styles\index.css", "CSS", 0, 661, 0, 0, 0, 0, 113, 774
"Total", "-", 4986, 1180, 27967, 1, 17, 23, 828, 35002
