"filename", "language", "CSS", "JavaScript", "comment", "blank", "total"
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Badges\Badges.js", "JavaScript", 0, 3, 0, 0, 3
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Badges\BadgesPage.js", "JavaScript", 0, 4, 0, 1, 5
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Badges\InspectBadge.js", "JavaScript", 0, 78, 0, 14, 92
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Badges\UserBadges.js", "JavaScript", 0, 33, 0, 2, 35
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Badges\UserBadgesPage.js", "JavaScript", 0, 6, 0, 0, 6
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Badges\background.css", "CSS", 15, 0, 0, 1, 16
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Levels\CreateLevel.js", "JavaScript", 0, 17, 0, 0, 17
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Levels\EditLevel.js", "JavaScript", 0, 17, 0, 0, 17
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Levels\LevelPage.js", "JavaScript", 0, 4, 0, -1, 3
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Levels\LevelsPage.js", "JavaScript", 0, 3, 0, 1, 4
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Main\Home.js", "JavaScript", 0, 2, 0, 1, 3
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Main\NavBar.js", "JavaScript", 0, -45, 0, -7, -52
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Main\NavBarAdmin.js", "JavaScript", 0, -5, 0, 0, -5
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Main\NavBarStudent.js", "JavaScript", 0, 35, 0, 5, 40
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Main\Title.js", "JavaScript", 0, -53, 0, -10, -63
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Notes\NotesPage.js", "JavaScript", 0, 2, 0, 0, 2
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Quiz\Quiz.js", "JavaScript", 0, 25, 0, 3, 28
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Quiz\QuizEngine.js", "JavaScript", 0, 1, 0, 0, 1
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Quiz\QuizPage.js", "JavaScript", 0, 0, 0, -1, -1
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Quiz\Quizes.js", "JavaScript", 0, 37, 0, 2, 39
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Quotes\CreateQuote.js", "JavaScript", 0, -1, 0, 0, -1
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Quotes\Quotes.js", "JavaScript", 0, 28, 0, 1, 29
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\SpeedTyping\QuoteEngine.js", "JavaScript", 0, 8, 0, 1, 9
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\SpeedTyping\QuoteLevels.js", "JavaScript", 0, 37, 0, 2, 39
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\SpeedTyping\TypingTest.js", "JavaScript", 0, 8, 1, 1, 10
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Training\Game.js", "JavaScript", 0, 2, 0, 0, 2
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Training\GameModal.js", "JavaScript", 0, -3, 0, 0, -3
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Training\TrainingPage.js", "JavaScript", 0, 4, 0, 2, 6
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Training\keyboard.css", "CSS", 4, 0, 0, 1, 5
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Users\TopUsers.js", "JavaScript", 0, 75, 0, 9, 84
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Users\Users.js", "JavaScript", 0, 24, 0, 3, 27
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Words\ImportFile.js", "JavaScript", 0, 2, 0, 1, 3
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Words\Words.js", "JavaScript", 0, 30, 0, 1, 31
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\styles\NavBarNew.css", "CSS", 1, 0, 0, 0, 1
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\styles\index.css", "CSS", 75, 0, 0, 14, 89
"Total", "-", 95, 378, 1, 47, 521
