"filename", "language", "Markdown", "JavaScript", "CSS", "HTML", "JSON", "comment", "blank", "total"
"c:\Users\Laurynas\Desktop\Bachelor\frontend\README.md", "Markdown", 1, 0, 0, 0, 0, 0, 1, 2
"c:\Users\Laurynas\Desktop\Bachelor\frontend\package-lock.json", "JSON", 0, 0, 0, 0, 28289, 0, 1, 28290
"c:\Users\Laurynas\Desktop\Bachelor\frontend\package.json", "JSON", 0, 0, 0, 0, 47, 0, 1, 48
"c:\Users\Laurynas\Desktop\Bachelor\frontend\public\index.html", "HTML", 0, 0, 0, 17, 0, 0, 3, 20
"c:\Users\Laurynas\Desktop\Bachelor\frontend\public\manifest.json", "JSON", 0, 0, 0, 0, 25, 0, 1, 26
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\App.js", "JavaScript", 0, 62, 0, 0, 0, 0, 9, 71
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\api\axios.js", "JavaScript", 0, 15, 0, 0, 0, 0, 3, 18
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Authorization\Login.js", "JavaScript", 0, 108, 0, 0, 0, 0, 16, 124
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Authorization\PersistLogin.js", "JavaScript", 0, 37, 0, 0, 0, 0, 6, 43
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Authorization\Register.js", "JavaScript", 0, 237, 0, 0, 0, 0, 29, 266
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Authorization\RequireAuth.js", "JavaScript", 0, 17, 0, 0, 0, 0, 5, 22
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Authorization\ResetPassword.js", "JavaScript", 0, 185, 0, 0, 0, 0, 25, 210
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Authorization\Unauthorized.js", "JavaScript", 0, 18, 0, 0, 0, 0, 5, 23
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Badges\Badges.js", "JavaScript", 0, 156, 0, 0, 0, 0, 12, 168
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Badges\BadgesPage.js", "JavaScript", 0, 21, 0, 0, 0, 0, 6, 27
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Badges\CreateBadge.js", "JavaScript", 0, 239, 0, 0, 0, 1, 29, 269
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Badges\EditBadge.js", "JavaScript", 0, 150, 0, 0, 0, 0, 27, 177
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Badges\InspectBadge.js", "JavaScript", 0, 80, 0, 0, 0, 0, 13, 93
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Badges\UserBadges.js", "JavaScript", 0, 106, 0, 0, 0, 1, 8, 115
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Badges\UserBadgesPage.js", "JavaScript", 0, 24, 0, 0, 0, 0, 5, 29
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Badges\background.css", "CSS", 0, 0, 15, 0, 0, 0, 1, 16
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Levels\CreateLevel.js", "JavaScript", 0, 130, 0, 0, 0, 0, 18, 148
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Levels\EditLevel.js", "JavaScript", 0, 125, 0, 0, 0, 0, 19, 144
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Levels\LevelPage.js", "JavaScript", 0, 49, 0, 0, 0, 0, 6, 55
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Levels\Levels.js", "JavaScript", 0, 179, 0, 0, 0, 1, 13, 193
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Levels\LevelsPage.js", "JavaScript", 0, 19, 0, 0, 0, 0, 6, 25
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Levels\levelmodals.css", "CSS", 0, 0, 159, 0, 0, 0, 31, 190
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Main\Footer.js", "JavaScript", 0, 8, 0, 0, 0, 0, 2, 10
"c:\Users\Laurynas\Desktop\Bachelor\frontend\src\components\Main\Home.js", "JavaScript", 0, 24, 0, 0, 0, 0, 6, 30
